pdf_file_name,block_coverage,is corupted
pdftc_010k_0383.xml,7.799224648,
pdftc_010k_0413.xml,7.799224648,
pdftc_010k_0498.xml,7.799224648,
pdftc_010k_0531.xml,7.799224648,
pdftc_010k_0560.xml,7.799224648,
pdftc_010k_0418.xml,7.800040808,
pdftc_010k_0577.xml,7.800040808,
pdftc_010k_0618.xml,7.800040808,
pdftc_010k_1976.xml,7.800040808,
pdftc_010k_0586.xml,7.800856968,
pdftc_010k_0614.xml,7.800856968,
pdftc_010k_0626.xml,7.800856968,
pdftc_010k_0683.xml,7.800856968,
pdftc_010k_0433.xml,7.801673128,
pdftc_010k_0523.xml,7.801673128,
pdftc_010k_0533.xml,7.801673128,
pdftc_010k_0654.xml,7.801673128,
pdftc_900k_0410.xml,7.801673128,
pdftc_010k_0581.xml,7.802489288,
pdftc_010k_0603.xml,7.802489288,
pdftc_010k_0653.xml,7.802489288,
pdftc_010k_0714.xml,7.802489288,
pdftc_010k_0720.xml,7.802489288,
pdftc_010k_1219.xml,7.802489288,
pdftc_mozilla_0087.xml,7.802489288,
pdftc_010k_0054.xml,7.803305448,
pdftc_010k_0585.xml,7.803305448,
pdftc_010k_0401.xml,7.804121608,
pdftc_010k_0482.xml,7.804121608,
pdftc_010k_0629.xml,7.804121608,
pdftc_010k_0682.xml,7.804121608,
pdftc_010k_1159.xml,7.804121608,
pdftc_010k_0492.xml,7.804937768,
pdftc_010k_0628.xml,7.804937768,
pdftc_010k_0637.xml,7.804937768,
pdftc_010k_0648.xml,7.804937768,
pdftc_010k_0694.xml,7.804937768,
pdftc_100k_2326.xml,7.804937768,
pdftc_mozilla_0092.xml,7.804937768,
pdftc_010k_0661.xml,7.805753928,
pdftc_010k_0703.xml,7.805753928,
pdftc_010k_0741.xml,7.805753928,
pdftc_010k_0742.xml,7.805753928,
pdftc_010k_0499.xml,7.806570088,
pdftc_010k_0566.xml,7.806570088,
pdftc_010k_0607.xml,7.806570088,
pdftc_010k_0635.xml,7.806570088,
pdftc_010k_0643.xml,7.806570088,
pdftc_010k_0725.xml,7.806570088,
pdftc_010k_0775.xml,7.806570088,
pdftc_900k_0514.xml,7.806570088,
pdftc_900k_0526.xml,7.806570088,
